symbol	hgnc_id
AIP	HGNC:358
ANKRD26	HGNC:29186
APC	HGNC:583
ATM	HGNC:795
AXIN2	HGNC:904
BAP1	HGNC:950
BARD1	HGNC:952
BMPR1A	HGNC:1076
BRCA1	HGNC:1100
BRCA2	HGNC:1101
BRIP1	HGNC:20473
BUB1B	HGNC:1149
CDC73	HGNC:16783
CDH1	HGNC:1748
CDK4	HGNC:1773
CDKN1B	HGNC:1785
CDKN2A	HGNC:1787
CEBPA	HGNC:1833
CHEK2	HGNC:16627
CSDE1	HGNC:29905
DDX41	HGNC:18674
DICER1	HGNC:17098
EGLN1	HGNC:1232
EGLN2	HGNC:14660
EPAS1	HGNC:3374
EPCAM	HGNC:11529
ETV6	HGNC:3495
EXT1	HGNC:3512
EXT2	HGNC:3513
FH	HGNC:3700
FLCN	HGNC:27310
GATA2	HGNC:4171
GREM1	HGNC:2001
HOXB13	HGNC:5112
IDH1	HGNC:5382
KIF1B	HGNC:16636
KIT	HGNC:6342
LZTR1	HGNC:6742
MAX	HGNC:6913
MBD4	HGNC:6919
MDH2	HGNC:6971
MEN1	HGNC:7010
MET	HGNC:7029
MLH1	HGNC:7127
MLH3	HGNC:7128
MSH2	HGNC:7325
MSH3	HGNC:7326
MSH6	HGNC:7329
MUTYH	HGNC:7527
NF1	HGNC:7765
NF2	HGNC:7773
NTHL1	HGNC:8028
PALB2	HGNC:26144
PDGFRA	HGNC:8803
PMS2	HGNC:9122
POLD1	HGNC:9175
POLE	HGNC:9177
POT1	HGNC:17284
PRKAR1A	HGNC:9388
PTCH1	HGNC:9585
PTEN	HGNC:9588
RAD51C	HGNC:9820
RAD51D	HGNC:9823
RB1	HGNC:9884
RET	HGNC:9967
RNF43	HGNC:18505
RUNX1	HGNC:10471
SAMD9	HGNC:1348
SAMD9L	HGNC:1349
SCG5	HGNC:10816
SDHA	HGNC:10680
SDHAF2	HGNC:26034
SDHB	HGNC:10681
SDHC	HGNC:10682
SDHD	HGNC:10683
SMAD4	HGNC:6770
SMARCA4	HGNC:11100
SMARCB1	HGNC:11103
SMARCE1	HGNC:11109
STK11	HGNC:11389
SUFU	HGNC:16466
TMEM127	HGNC:26038
TP53	HGNC:11998
TSC1	HGNC:12362
TSC2	HGNC:12363
VHL	HGNC:12687
